EmployeeID;FirstName;LastName;BirthDate;Department;Salary
1;John;Doe;01/12/1980;Sales;70000
2;Jane;Smith;14/07/1985;Marketing;80000
3;Oliver;Johnson;30/06/1990;IT;90000
4;Emma;Williams;21/01/1989;HR;75000
5;Liam;Brown;05/03/1987;Sales;85000
6;Ava;Garcia;22/04/1995;;82000
7;William;Martinez;10/02/1981;IT;77000
8;Sophia;Robinson;12/09/1988;Marketing;94000
9;James;Clark;19/06/1982;;81000
10;Charlotte;Rodriguez;08/07/1991;HR;88000
11;Benjamin;Lewis;30/11/1983;Sales;95000
12;Mia;Lee;17/02/1986;Marketing;78000
13;Ethan;Walker;25/08/1992;;92000
14;Harper;Hall;31/05/1993;Sales;89000
15;Noah;Allen;12/01/1984;IT;76000
16;Amelia;Young;13/02/1994;Marketing;93000
17;Jacob;Hernandez;27/04/1987;Sales;91000
18;Isabella;King;03/12/1992;;74000
19;Luke;Wright;22/01/1985;IT;86000
20;Evelyn;Lopez;05/03/1990;Marketing;83000
